Type,Commodity,KGs,Value_of_Goods_Exported,Date
Vegetables,Patra/arrow root leaves,1379.0,402948.0,02/25/2015 12:00:00 AM
Vegetables,Runner beans,56248.64,22535977.0,02/25/2015 12:00:00 AM
Vegetables,Serenade,2570.0,1433457.0,02/25/2015 12:00:00 AM
Vegetables,Snap peas,59054.53,19000574.0,02/25/2015 12:00:00 AM
Vegetables,Snow/mangetout,157528.09,47406922.0,02/25/2015 12:00:00 AM
Vegetables,Sugar cane,40.0,12317.0,02/25/2015 12:00:00 AM
Vegetables,Turia,12.0,3014.0,02/25/2015 12:00:00 AM
Vegetables,Valore,110.0,37890.0,02/25/2015 12:00:00 AM
Vegetables,Bean processed,252264.0,28311500.0,02/25/2015 12:00:00 AM
Vegetables,Herbs,90759.15,50857934.0,02/25/2015 12:00:00 AM
Cut-flowers,Anthurium leaves,3362.11,1215772.0,03/25/2015 12:00:00 AM
Cut-flowers,Cut foliage,7644.21,2335744.0,03/25/2015 12:00:00 AM
Cut-flowers,Fillers,27.21,10711.0,03/25/2015 12:00:00 AM
Cut-flowers,Leather leaves/fern,349.34,83968.0,03/25/2015 12:00:00 AM
Cut-flowers,Ranunculus,70.0,28924.0,03/25/2015 12:00:00 AM
Cut-flowers,Agapanthus,14513.56,2252909.0,03/25/2015 12:00:00 AM
Cut-flowers,Alstroemeria,81716.3,33127218.0,03/25/2015 12:00:00 AM
Cut-flowers,Amaranthus,43.98,51728.0,03/25/2015 12:00:00 AM
Cut-flowers,Ammi,23768.63,11809566.0,03/25/2015 12:00:00 AM
Cut-flowers,Anthurium,6420.13,2571949.0,03/25/2015 12:00:00 AM
Cut-flowers,Arabicum / saundersiea,11150.44,3182087.0,03/25/2015 12:00:00 AM
Cut-flowers,Asparagus fern,164.72,52946.0,03/25/2015 12:00:00 AM
Cut-flowers,Assorted/bouquet,1596.49,742959.0,03/25/2015 12:00:00 AM
Cut-flowers,Astrantia,4734.72,2102475.0,03/25/2015 12:00:00 AM
Cut-flowers,Bougainvillea,1239.92,870600.0,03/25/2015 12:00:00 AM
Cut-flowers,Bouvadia,3333.4,2464013.0,03/25/2015 12:00:00 AM
Cut-flowers,Brodiaea,10.23,5713.0,03/25/2015 12:00:00 AM
Cut-flowers,Bupleurum,1428.37,971374.0,03/25/2015 12:00:00 AM
Cut-flowers,Calla lillies,25663.42,34618827.0,03/25/2015 12:00:00 AM
Cut-flowers,Carnation / dianthus,299500.18,637112137.0,03/25/2015 12:00:00 AM
Cut-flowers,Chrysanthemums,8139.55,2472464.0,03/25/2015 12:00:00 AM
Cut-flowers,Craspedia,7042.51,1269858.0,03/25/2015 12:00:00 AM
Cut-flowers,Crocosmia / montbretia,3589.53,1912043.0,03/25/2015 12:00:00 AM
Cut-flowers,Delphinium,3239.08,3327281.0,03/25/2015 12:00:00 AM
Cut-flowers,Eryngium,18489.56,7756244.0,03/25/2015 12:00:00 AM
Cut-flowers,Eucalyptus,1403.8,436064.0,03/25/2015 12:00:00 AM
Cut-flowers,Euphorbia,436.57,116697.0,03/25/2015 12:00:00 AM
Cut-flowers,Freesia,1150.92,547524.0,03/25/2015 12:00:00 AM
Cut-flowers,Gladiolus,6.82,786.0,03/25/2015 12:00:00 AM
Cut-flowers,Grass,702.48,289966.0,03/25/2015 12:00:00 AM
Cut-flowers,Gypsophilla / million stars,159376.97,81110655.0,03/25/2015 12:00:00 AM
Cut-flowers,Helianthus/sunflower,10970.67,72859067.0,03/25/2015 12:00:00 AM
Cut-flowers,Hypericum,113670.0,169386374.0,03/25/2015 12:00:00 AM
Cut-flowers,Kangaroo paw,2101.13,376057.0,03/25/2015 12:00:00 AM
Cut-flowers,Lavender,966.96,253460.0,03/25/2015 12:00:00 AM
Cut-flowers,Liatris,774.75,88414.0,03/25/2015 12:00:00 AM
