Type,Commodity,KGs,Value_of_Goods_Exported,Date
Cut-flowers,Helianthus/sunflower,10970.67,72859067,03/25/2015 12:00:00 AM
Cut-flowers,Hypericum,113670,169386374,03/25/2015 12:00:00 AM
Cut-flowers,Ivy plants/hederas,0,0,03/25/2015 12:00:00 AM
Cut-flowers,Kangaroo paw,2101.13,376057,03/25/2015 12:00:00 AM
Cut-flowers,Lavender,966.96,253460,03/25/2015 12:00:00 AM
Cut-flowers,Liatris,774.75,88414,03/25/2015 12:00:00 AM
Cut-flowers,Lilies/longiflora,33027.47,30753699,03/25/2015 12:00:00 AM
Cut-flowers,Lisianthus/eustoma,78.37,68754,03/25/2015 12:00:00 AM
Cut-flowers,Mathiola,35155.43,23268414,03/25/2015 12:00:00 AM
Cut-flowers,Mixed flowers,149818.92,66286414,03/25/2015 12:00:00 AM
Cut-flowers,Mobbydick,2328.14,758189,03/25/2015 12:00:00 AM
Cut-flowers,Molucella,609.75,145893,03/25/2015 12:00:00 AM
Cut-flowers,Orchids/cymbidium,0,0,03/25/2015 12:00:00 AM
Cut-flowers,Ornithogulum,19474.25,9476478,03/25/2015 12:00:00 AM
Cut-flowers,Papyrus,100,27244,03/25/2015 12:00:00 AM
Cut-flowers,Phlox,1910.57,153927591,03/25/2015 12:00:00 AM
Cut-flowers,Rosemary,1352.98,679478,03/25/2015 12:00:00 AM
Cut-flowers,Roses,9935000.52,5231748979,03/25/2015 12:00:00 AM
Cut-flowers,Rudbeckia,161.5,45407,03/25/2015 12:00:00 AM
Cut-flowers,Ruscus/flower cabbage,6782.01,3760855,03/25/2015 12:00:00 AM
Cut-flowers,Scabiosa,2160.34,602496,03/25/2015 12:00:00 AM
Cut-flowers,Setaria,5.67,3757,03/25/2015 12:00:00 AM
Cut-flowers,Solidago,123424.22,76005376,03/25/2015 12:00:00 AM
Cut-flowers,Statice/limonium,93819.94,40994210,03/25/2015 12:00:00 AM
Cut-flowers,Strelitzia/birds of paradise,202.04,99754,03/25/2015 12:00:00 AM
